ID;positive_prompt;negative_prompt;
1;A solo piano melody, exhibiting a happy, cheerful and bright mood;A solo piano melody, exhibiting a sad, depressive and dark mood;
2;An acoustic guitar improvisation with cheerful and happy vibes;An acoustic guitar improvisation with depressive and sad vibes;
3;A cinematic violin piece, with bright, cheerful and happy atmosphere;A cinematic violin piece, with dark, depressive and sad atmosphere;
4;A happy and cheerful classical violin solo;A sad and depressive classical violin solo;
5;A soft flute performance full of cheerful, bright energy;A soft flute performance full of depressive, dark energy;
6;A string quartet composition featuring a bright and happy tone with violin;A string quartet composition featuring a dark and sad tone with violin;
7;A flute melody featuring happy, cheerful notes;A flute melody featuring sad, depressive notes;
8;A piano solo piece, with cheerful and bright character;A piano solo piece, with depressive and dark character;
9;A bright, happy and energetic grand piano concerto intro;A dark, sad and energetic grand piano concerto intro;
10;A Spanish guitar track evoking happy and cheerful emotion;A Spanish guitar track evoking sad and depressive emotion;
11;An ambient piano progression, with a cheerful, bright feeling;An ambient piano progression, with a depressive, dark feeling;
12;A bright and happy jazz flute improvisation;A dark and sad jazz flute improvisation;
13;A cheerful, bright folk guitar song;A depressive, dark folk guitar song;
14;A happy, cheerful classical piano sonata;A sad, depressive classical piano sonata;
15;A bright, happy medieval violin tune;A dark, sad medieval violin tune;
16;A cheerful, bright country guitar riff, with heavy shades;A depressive, dark country guitar riff, with heavy shades;
17;A happy, bright romantic piano ballad;A sad, depressive romantic piano ballad;
18;A bright, cheerful pop violin melody;A dark, depressive pop violin melody;
19;A cheerful, happy ambient flute soundscape;A depressive, dark ambient flute soundscape;
20;A happy, bright blues guitar solo, with deep tones;A sad, depressive blues guitar solo, with deep tones;
21;A bright, cheerful jazz piano standard;A dark, depressive jazz piano standard;
22;A cheerful, happy symphony violin movement;A depressive, dark symphony violin movement;
23;A happy, bright rock guitar anthem;A sad, depressive rock guitar anthem;
24;A bright, cheerful orchestral flute piece;A dark, depressive orchestral flute piece;
25;A cheerful, happy gospel piano melody, with vibrant traces;A depressive, dark gospel piano melody, with vibrant traces;
26;A happy, bright Celtic violin jig;A sad, depressive Celtic violin jig;
27;A bright, cheerful electronic guitar loop;A dark, depressive electronic guitar loop;
28;A cheerful, happy meditative piano piece;A depressive, dark meditative piano piece;
29;A happy, bright film score violin theme;A sad, depressive film score violin theme;
30;A bright, cheerful reggae guitar strum;A dark, depressive reggae guitar strum;
31;A cheerful, happy video game flute track;A depressive, dark video game flute track;
32;A happy, bright Bossa Nova piano rhythm;A sad, depressive Bossa Nova piano rhythm;
33;A bright, cheerful tango violin performance;A dark, depressive tango violin performance;
34;A cheerful, happy indie guitar melody;A depressive, dark indie guitar melody;
35;A happy, bright lullaby flute tune;A sad, depressive lullaby flute tune;
36;A bright, cheerful chamber piano music;A dark, depressive chamber piano music;
37;A cheerful, happy energetic violin solo;A depressive, dark energetic violin solo;
38;A happy, bright festive guitar song, with intense shades;A sad, depressive festive guitar song, with intense shades;
39;A bright, cheerful world music flute melody;A dark, depressive world music flute melody;
40;A cheerful, happy experimental piano sound, with vivid tones;A depressive, dark experimental piano sound, with vivid tones;
41;A happy, bright orchestral violin crescendo;A sad, depressive orchestral violin crescendo;
42;A bright, cheerful dance guitar track;A dark, depressive dance guitar track;
43;A cheerful, happy chillwave flute pad;A depressive, dark chillwave flute pad;
44;A happy, bright minimalist piano composition;A sad, depressive minimalist piano composition;
45;A bright, cheerful synthwave violin lead;A dark, depressive synthwave violin lead;
46;A cheerful, happy latin guitar groove;A depressive, dark latin guitar groove;
47;A happy, bright romantic flute serenade;A sad, depressive romantic flute serenade;
48;A bright, cheerful dramatic piano underscore, with clear traces;A dark, depressive dramatic piano underscore, with clear traces;
49;A cheerful, happy energetic guitar riff;A depressive, dark energetic guitar riff;
50;A happy, bright playful violin pizzicato;A sad, depressive playful violin pizzicato;
