ID;positive_prompt;negative_prompt;
1;A solo piano melody, exhibiting a happy, cheerful and bright mood;A solo piano melody, exhibiting a sad, depressive and dark mood;
2;A piano solo piece, with cheerful and bright character;A piano solo piece, with depressive and dark character;
3;A bright, happy and energetic grand piano concerto intro;A dark, sad and energetic grand piano concerto intro;
4;An ambient piano progression, with a cheerful, bright feeling;An ambient piano progression, with a depressive, dark feeling;
5;A happy, cheerful classical piano sonata;A sad, depressive classical piano sonata;
6;A happy, bright romantic piano ballad;A sad, depressive romantic piano ballad;
7;A bright, cheerful jazz piano standard;A dark, depressive jazz piano standard;
8;A cheerful, happy gospel piano melody, with vibrant traces;A depressive, dark gospel piano melody, with vibrant traces;
9;A cheerful, happy meditative piano piece;A depressive, dark meditative piano piece;
10;A happy, bright Bossa Nova piano rhythm;A sad, depressive Bossa Nova piano rhythm;
11;A bright, cheerful chamber piano music;A dark, depressive chamber piano music;
12;A cheerful, happy experimental piano sound, with vivid tones;A depressive, dark experimental piano sound, with vivid tones;
13;A bright, cheerful dance piano track;A dark, depressive dance piano track;
14;A happy, bright minimalist piano composition;A sad, depressive minimalist piano composition;
15;A happy, bright romantic piano serenade;A sad, depressive romantic piano serenade;
16;A bright, cheerful dramatic piano underscore, with clear traces;A dark, depressive dramatic piano underscore, with clear traces;
17;A cheerful, happy symphony piano movement;A depressive, dark symphony piano movement;
18;A happy, bright Celtic piano;A sad, depressive Celtic piano;
19;A cheerful, happy video game piano track;A depressive, dark video game piano track;
20;A cheerful, happy latin piano groove;A depressive, dark latin piano groove;
